"MGI_Symbol"	"SRR8867570"	"SRR8867571"	"SRR8867572"	"SRR12554274"	"SRR12554275"	"SRR12554276"	"SRR3143894"	"SRR3143897"	"SRR11294120"	"SRR11294121"	"SRR11294122"	"SRR5809472"	"SRR5809473"	"SRR5809474"	"SRR5809475"	"SRR6910771"	"SRR6910772"	"SRR6910773"	"SRR5809464"	"SRR5809465"	"SRR5809466"	"SRR5809467"	"SRR6910774"	"SRR6910775"	"SRR6910776"	"SRR12554271"	"SRR12554272"	"SRR12554273"
"Lnx1"	30.3507889638425	35.960704086557	19.7053539263876	35.8884243318984	25.5553642309255	26.1058550426616	11.4871583227969	8.5379667396014	10.7685080087413	11.5798780454179	8.4550132742308	0	38.366874376208	10.1498694716991	8.01622428284465	15.8078764477844	16.250512905623	9.29043969096772	4.67215129771	10.7476028638381	10.4870860567815	6.01083101801938	3.62296868327018	4.10445382515181	3.76369288111029	2.99320536688247	5.09784853228885	2.99623338308019
"Cnih2"	16.7239041229336	30.8234606456203	16.7495508374294	29.6577951076105	19.0930882185075	16.8346168032117	1055.22312704137	1590.28910923706	885.465044900589	1331.68597522305	1353.79683132095	148.835481507132	172.650934692936	50.7493473584957	232.470504202495	232.601610588828	118.396594026682	162.582694591935	481.23158366413	521.258738896148	566.302647066201	504.909805513628	254.51354999973	774.099991423632	318.972971674097	512.586419078624	513.523275485897	503.741737530357
"Postn"	1739.9054326415	1516.9545989166	462.090549573788	1676.03926133345	1163.20968223523	1119.13604748307	347.486539264606	425.78468914447	608.910180130642	489.375715658529	392.412086668712	372.088703767829	1112.63935691003	385.695039924567	609.233045496193	751.250509280421	415.548830015218	668.137454442096	4.67215129771	48.3642128872715	115.357946624596	114.205789342368	19.926327757986	100.969564098735	15.0547715244411	34.7960123900087	94.1402695629341	34.4566839054222
"Loxl2"	589.672471297512	476.295856166846	749.788716899047	660.197472605548	535.781429393196	566.521452421123	561.594406892292	675.984236209311	1195.30438897028	1357.36309610637	1223.98750987541	135.304983188302	76.7337487524161	40.5994778867966	112.227139959825	132.48505975286	102.146081121059	126.969342443226	93.4430259542001	118.223631502219	199.254635078848	144.259944432465	119.557966547916	183.058640601771	116.674479314419	144.048008281219	138.661480078257	131.085210509758
"Txn1"	3093.30285888632	1611.62665661386	1632.58857280121	1777.22467993589	2333.17538030162	2388.07578651936	192.409901906848	226.812942517237	208.517473260172	295.035153678907	270.063071053372	3402.92032718578	9374.30630592016	1826.97650490584	4288.67999132189	4725.80230186622	2973.84386172901	3295.00927706322	74.75442076336	37.6166100234334	78.6531454258612	36.0649861081163	40.7583976867895	34.4774121312752	35.7550823705477	47.1429845283989	45.5407802217804	46.441617437743
"Fkbp10"	175.291291362601	163.657898189841	132.025871306797	188.414227742467	136.295275898269	154.195330719272	2435.59665216413	3177.60849091252	3801.77280472243	7025.96513581767	5846.39300226959	270.609966376603	447.613534389094	91.3488252452922	120.24336424267	237.870902738089	71.1927232055866	235.357805504516	387.78855770993	902.798640562401	450.944700441604	1093.97124527953	959.18095889578	818.428092735271	1010.55153857811	767.757176605354	799.682506431711	736.698883064842
"Lum"	374.739333124994	287.685632692456	502.486525122883	656.459095070975	243.510309740658	233.488815661936	185.709059551883	318.503280981652	186.980457242689	565.903605349986	698.781979429075	33.8262457970754	12.7889581254027	20.2997389433983	8.01622428284465	13.5496083838152	17.7981808013967	6.96782976822579	51.39366427481	5.37380143191905	36.7048011987352	24.0433240720775	56.1560145906878	50.0743366668521	23.5230805069393	37.4150670860309	37.044366001299	34.4566839054222
"Avpr1a"	8.67165398966929	19.815081843613	10.8379446595132	11.2151326037183	13.8057714810747	12.4429776371565	5.10540369902084	7.42431890400122	4.89477636760967	10.0694591699286	3.97882977610861	115.009235710056	51.1558325016107	30.4496084150974	88.1784671112911	78.286626217599	62.6805497788317	57.2910447609676	46.7215129771	80.6070214787858	41.948344227126	24.0433240720775	38.0411711743369	24.6267229509109	103.501554230533	51.6327925787227	56.4161904239966	39.7000923258125
"Snai1"	68.1344242045444	77.7925435341844	116.261588165687	105.422246474952	69.6163370428659	74.1699059155993	87.7491260769207	97.258577642416	70.9742573303402	105.225848325754	95.9892683486202	20.2957474782452	0	0	0	2.2582680639692	0	21.677692612258	14.01645389313	53.7380143191905	15.7306290851722	42.0758171261356	28.0780072953439	36.1191936613359	19.759387625829	22.0748895807582	28.8878083496368	29.2132754850319
"Pkp3"	11.768673271694	52.8402182496347	18.7200862300682	26.4178679109808	28.4927624183882	29.7655543477076	1.59543865594401	1.85607972600031	2.44738818380483	3.524310709475	0.497353722013576	20.2957474782452	115.100623128624	81.1989557735931	112.227139959825	69.2535539617222	51.8468745084163	70.4525009898386	0	0	0	6.01083101801938	0	0	0	0.374150670860309	0	0
